68,22,12,24
62,28,10,23	
50,7,13,26
67,15,11,23
61,13,11,24
49,17,7,20
46,24,7,22
54,26,11,22
55,17,12,24
59,19,10,22
76,26,9,20
63,30,9,21
81,26,0,9
56,35,2,17
52,11,16,30
57,22,13,27
50,9,-8,3
74,15,3,11
49,9,2,16
64,17,1,14
59,19,12,18
93,9,11,19
66,20,5,15
78,30,0,7
90,11,4,10
74,15,1,11
73,24,4,13
83,15,4,12 
67,7,1,12
72,24,-4,6
79,39,-9,4
53,11,-6,4
50,24,-9,5
56,26,-2,8
96,20,-11,-1
96,52,-14,-5
76,24,-13,-2
71,13,-5,5
83,20,-9,2
52,37,-12,1
98,37,-12,0
77,33,-14,-3
68,15,14,25
60,31,18,27
53,26,16,29
42,24,14,28
65,13,16,29
34,15,17,33
48,11,19,34
